Harmonogram rat malejących:

Miesiąc | Rata całkowita | Kapitał | Odsetki | Saldo
     1 |         3083.33 | 2083.33 | 1000.00 | 100000.00
     2 |         3062.50 | 2083.33 |  979.17 | 97916.67
     3 |         3041.67 | 2083.33 |  958.33 | 95833.33
     4 |         3020.83 | 2083.33 |  937.50 | 93750.00
     5 |         3000.00 | 2083.33 |  916.67 | 91666.67
     6 |         2979.17 | 2083.33 |  895.83 | 89583.33
     7 |         2958.33 | 2083.33 |  875.00 | 87500.00
     8 |         2937.50 | 2083.33 |  854.17 | 85416.67
     9 |         2916.67 | 2083.33 |  833.33 | 83333.33
    10 |         2895.83 | 2083.33 |  812.50 | 81250.00
    11 |         2875.00 | 2083.33 |  791.67 | 79166.67
    12 |         2854.17 | 2083.33 |  770.83 | 77083.33
    13 |         2833.33 | 2083.33 |  750.00 | 75000.00
    14 |         2812.50 | 2083.33 |  729.17 | 72916.67
    15 |         2791.67 | 2083.33 |  708.33 | 70833.33
    16 |         2770.83 | 2083.33 |  687.50 | 68750.00
    17 |         2750.00 | 2083.33 |  666.67 | 66666.67
    18 |         2729.17 | 2083.33 |  645.83 | 64583.33
    19 |         2708.33 | 2083.33 |  625.00 | 62500.00
    20 |         2687.50 | 2083.33 |  604.17 | 60416.67
    21 |         2666.67 | 2083.33 |  583.33 | 58333.33
    22 |         2645.83 | 2083.33 |  562.50 | 56250.00
    23 |         2625.00 | 2083.33 |  541.67 | 54166.67
    24 |         2604.17 | 2083.33 |  520.83 | 52083.33
    25 |         2583.33 | 2083.33 |  500.00 | 50000.00
    26 |         2562.50 | 2083.33 |  479.17 | 47916.67
    27 |         2541.67 | 2083.33 |  458.33 | 45833.33
    28 |         2520.83 | 2083.33 |  437.50 | 43750.00
    29 |         2500.00 | 2083.33 |  416.67 | 41666.67
    30 |         2479.17 | 2083.33 |  395.83 | 39583.33
    31 |         2458.33 | 2083.33 |  375.00 | 37500.00
    32 |         2437.50 | 2083.33 |  354.17 | 35416.67
    33 |         2416.67 | 2083.33 |  333.33 | 33333.33
    34 |         2395.83 | 2083.33 |  312.50 | 31250.00
    35 |         2375.00 | 2083.33 |  291.67 | 29166.67
    36 |         2354.17 | 2083.33 |  270.83 | 27083.33
    37 |         2333.33 | 2083.33 |  250.00 | 25000.00
    38 |         2312.50 | 2083.33 |  229.17 | 22916.67
    39 |         2291.67 | 2083.33 |  208.33 | 20833.33
    40 |         2270.83 | 2083.33 |  187.50 | 18750.00
    41 |         2250.00 | 2083.33 |  166.67 | 16666.67
    42 |         2229.17 | 2083.33 |  145.83 | 14583.33
    43 |         2208.33 | 2083.33 |  125.00 | 12500.00
    44 |         2187.50 | 2083.33 |  104.17 | 10416.67
    45 |         2166.67 | 2083.33 |   83.33 | 8333.33
    46 |         2145.83 | 2083.33 |   62.50 | 6250.00
    47 |         2125.00 | 2083.33 |   41.67 | 4166.67
    48 |         2104.17 | 2083.33 |   20.83 | 2083.33

Suma odsetek: 24500.00 zł
Łączna kwota do spłaty: 124500.00 zł
