Miesiąc,Rata
1,1313.26
2,1313.26
3,1313.26
4,1313.26
5,1313.26
6,1313.26
7,1313.26
8,1313.26
9,1313.26
10,1313.26
11,1313.26
12,1313.26
13,1313.26
14,1313.26
15,1313.26
16,1313.26
17,1313.26
18,1313.26
19,1313.26
20,1313.26
21,1313.26
22,1313.26
23,1313.26
24,1313.26
25,1313.26
26,1313.26
27,1313.26
28,1313.26
29,1313.26
30,1313.26
31,1313.26
32,1313.26
33,1313.26
34,1313.26
35,1313.26
36,1313.26
37,1313.26
38,1313.26
39,1313.26
40,1313.26
41,1313.26
42,1313.26
43,1313.26
44,1313.26
45,1313.26
46,1313.26
47,1313.26
48,1313.26
49,1313.26
50,1313.26
51,1313.26
52,1313.26
53,1313.26
54,1313.26
55,1313.26
56,1313.26
57,1313.26
58,1313.26
59,1313.26
60,1313.26
61,1313.26
62,1313.26
63,1313.26
64,1313.26
65,1313.26
66,1313.26
67,1313.26
68,1313.26
69,1313.26
70,1313.26
71,1313.26
72,1313.26
73,1313.26
74,1313.26
75,1313.26
76,1313.26
77,1313.26
78,1313.26
79,1313.26
80,1313.26
81,1313.26
82,1313.26
83,1313.26
84,1313.26
85,1313.26
86,1313.26
87,1313.26
88,1313.26
89,1313.26
90,1313.26
91,1313.26
92,1313.26
93,1313.26
94,1313.26
95,1313.26
96,1313.26
97,1313.26
98,1313.26
99,1313.26
100,1313.26
101,1313.26
102,1313.26
103,1313.26
104,1313.26
105,1313.26
106,1313.26
107,1313.26
108,1313.26
109,1313.26
110,1313.26
111,1313.26
112,1313.26
113,1313.26
114,1313.26
115,1313.26
116,1313.26
117,1313.26
118,1313.26
119,1313.26
120,1313.26
121,1313.26
122,1313.26
123,1313.26
124,1313.26
125,1313.26
126,1313.26
127,1313.26
128,1313.26
129,1313.26
130,1313.26
131,1313.26
132,1313.26
133,1313.26
134,1313.26
135,1313.26
136,1313.26
137,1313.26
138,1313.26
139,1313.26
140,1313.26
141,1313.26
142,1313.26
143,1313.26
144,1313.26
