Harmonogram rat malejących:

Miesiąc | Rata całkowita | Kapitał | Odsetki | Saldo
     1 |          516.67 |  416.67 |  100.00 | 10000.00
     2 |          512.50 |  416.67 |   95.83 | 9583.33
     3 |          508.33 |  416.67 |   91.67 | 9166.67
     4 |          504.17 |  416.67 |   87.50 | 8750.00
     5 |          500.00 |  416.67 |   83.33 | 8333.33
     6 |          495.83 |  416.67 |   79.17 | 7916.67
     7 |          491.67 |  416.67 |   75.00 | 7500.00
     8 |          487.50 |  416.67 |   70.83 | 7083.33
     9 |          483.33 |  416.67 |   66.67 | 6666.67
    10 |          479.17 |  416.67 |   62.50 | 6250.00
    11 |          475.00 |  416.67 |   58.33 | 5833.33
    12 |          470.83 |  416.67 |   54.17 | 5416.67
    13 |          466.67 |  416.67 |   50.00 | 5000.00
    14 |          462.50 |  416.67 |   45.83 | 4583.33
    15 |          458.33 |  416.67 |   41.67 | 4166.67
    16 |          454.17 |  416.67 |   37.50 | 3750.00
    17 |          450.00 |  416.67 |   33.33 | 3333.33
    18 |          445.83 |  416.67 |   29.17 | 2916.67
    19 |          441.67 |  416.67 |   25.00 | 2500.00
    20 |          437.50 |  416.67 |   20.83 | 2083.33
    21 |          433.33 |  416.67 |   16.67 | 1666.67
    22 |          429.17 |  416.67 |   12.50 | 1250.00
    23 |          425.00 |  416.67 |    8.33 |  833.33
    24 |          420.83 |  416.67 |    4.17 |  416.67

Suma odsetek: 1250.00 zł
Łączna kwota do spłaty: 11250.00 zł
